処置障害,,,1,名詞,一般,*,*,*,*,処置障害,*,*,ByMeCabEst
作成者,,,1,名詞,一般,*,*,*,*,作成者,*,*,ByMeCabEst
作業成果物,,,1,名詞,一般,*,*,*,*,作業成果物,*,*,ByMeCabEst
レビュー観点,,,1,名詞,一般,*,*,*,*,レビュー観点,*,*,ByMeCabEst
参加者,,,1,名詞,一般,*,*,*,*,参加者,*,*,ByMeCabEst
開発完了,,,1,名詞,一般,*,*,*,*,開発完了,*,*,ByMeCabEst
レビュー対象,,,1,名詞,一般,*,*,*,*,レビュー対象,*,*,ByMeCabEst
SWシステム試験,,,1,名詞,一般,*,*,*,*,SWシステム試験,*,*,ByMeCabEst
レビュー工数,,,1,名詞,一般,*,*,*,*,レビュー工数,*,*,ByMeCabEst
仕様書,,,1,名詞,一般,*,*,*,*,仕様書,*,*,ByMeCabEst
管理者,,,1,名詞,一般,*,*,*,*,管理者,*,*,ByMeCabEst
SWリリース判定,,,1,名詞,一般,*,*,*,*,SWリリース判定,*,*,ByMeCabEst
書面レビュー,,,1,名詞,一般,*,*,*,*,書面レビュー,*,*,ByMeCabEst
結合試験書面レビュー,,,1,名詞,一般,*,*,*,*,結合試験書面レビュー,*,*,ByMeCabEst
成果物,,,1,名詞,一般,*,*,*,*,成果物,*,*,ByMeCabEst
設計書,,,1,名詞,一般,*,*,*,*,設計書,*,*,ByMeCabEst
承認日承認者,,,1,名詞,一般,*,*,*,*,承認日承認者,*,*,ByMeCabEst
結合試験,,,1,名詞,一般,*,*,*,*,結合試験,*,*,ByMeCabEst
試験計画書,,,1,名詞,一般,*,*,*,*,試験計画書,*,*,ByMeCabEst
障害ランク,,,1,名詞,一般,*,*,*,*,障害ランク,*,*,ByMeCabEst
レビュアー,,,1,名詞,一般,*,*,*,*,レビュアー,*,*,ByMeCabEst
インスペクション,,,1,名詞,一般,*,*,*,*,インスペクション,*,*,ByMeCabEst
障害ランクA,,,1,名詞,一般,*,*,*,*,障害ランクA,*,*,ByMeCabEst
Gチーム名,,,1,名詞,一般,*,*,*,*,Gチーム名,*,*,ByMeCabEst
工程別障害予備,,,1,名詞,一般,*,*,*,*,工程別障害予備,*,*,ByMeCabEst
障害ランクC,,,1,名詞,一般,*,*,*,*,障害ランクC,*,*,ByMeCabEst
資料種別開発計画書,,,1,名詞,一般,*,*,*,*,資料種別開発計画書,*,*,ByMeCabEst
障害ランクB,,,1,名詞,一般,*,*,*,*,障害ランクB,*,*,ByMeCabEst
工程別障害単体試験,,,1,名詞,一般,*,*,*,*,工程別障害単体試験,*,*,ByMeCabEst
工程別障害詳細設計,,,1,名詞,一般,*,*,*,*,工程別障害詳細設計,*,*,ByMeCabEst
工程別障害結合試験,,,1,名詞,一般,*,*,*,*,工程別障害結合試験,*,*,ByMeCabEst
試験計画書How,,,1,名詞,一般,*,*,*,*,試験計画書How,*,*,ByMeCabEst
障害ランクS,,,1,名詞,一般,*,*,*,*,障害ランクS,*,*,ByMeCabEst
指摘原因レビュー対象,,,1,名詞,一般,*,*,*,*,指摘原因レビュー対象,*,*,ByMeCabEst
参加者参加人数,,,1,名詞,一般,*,*,*,*,参加者参加人数,*,*,ByMeCabEst
工程別障害要件定義,,,1,名詞,一般,*,*,*,*,工程別障害要件定義,*,*,ByMeCabEst
コードレビュー,,,1,名詞,一般,*,*,*,*,コードレビュー,*,*,ByMeCabEst
単体試験,,,1,名詞,一般,*,*,*,*,単体試験,*,*,ByMeCabEst
工程別障害要素検討,,,1,名詞,一般,*,*,*,*,工程別障害要素検討,*,*,ByMeCabEst
開発フェーズ要素検討,,,1,名詞,一般,*,*,*,*,開発フェーズ要素検討,*,*,ByMeCabEst
詳細設計,,,1,名詞,一般,*,*,*,*,詳細設計,*,*,ByMeCabEst
アーキテクチャ設計,,,1,名詞,一般,*,*,*,*,アーキテクチャ設計,*,*,ByMeCabEst
Aランク定義B,,,1,名詞,一般,*,*,*,*,Aランク定義B,*,*,ByMeCabEst
SW標準開発プロセスWG,,,1,名詞,一般,*,*,*,*,SW標準開発プロセスWG,*,*,ByMeCabEst
工程別障害基本設計,,,1,名詞,一般,*,*,*,*,工程別障害基本設計,*,*,ByMeCabEst
開発言語,,,1,名詞,一般,*,*,*,*,開発言語,*,*,ByMeCabEst
アドホックレビュー,,,1,名詞,一般,*,*,*,*,アドホックレビュー,*,*,ByMeCabEst
レビュースキル,,,1,名詞,一般,*,*,*,*,レビュースキル,*,*,ByMeCabEst
整合性,,,1,名詞,一般,*,*,*,*,整合性,*,*,ByMeCabEst
要件定義,,,1,名詞,一般,*,*,*,*,要件定義,*,*,ByMeCabEst
要素検討,,,1,名詞,一般,*,*,*,*,要素検討,*,*,ByMeCabEst
コード単体試験,,,1,名詞,一般,*,*,*,*,コード単体試験,*,*,ByMeCabEst
工程別障害保守,,,1,名詞,一般,*,*,*,*,工程別障害保守,*,*,ByMeCabEst
Sランク,,,1,名詞,一般,*,*,*,*,Sランク,*,*,ByMeCabEst
工程別障害出荷判定,,,1,名詞,一般,*,*,*,*,工程別障害出荷判定,*,*,ByMeCabEst
承認日承認者承認見解,,,1,名詞,一般,*,*,*,*,承認日承認者承認見解,*,*,ByMeCabEst
対象外,,,1,名詞,一般,*,*,*,*,対象外,*,*,ByMeCabEst
障害検出実績,,,1,名詞,一般,*,*,*,*,障害検出実績,*,*,ByMeCabEst
